uuid,series,status,created_date
ac7dd82a-ef90-45c6-9a19-d51007748f4a,[ 9  9  2 10  7],raw,09/11/2025-21:35:16
325e57f0-e894-4ac5-b76e-208379ffe0fb,[2 5 9 3 3],raw,09/11/2025-21:35:16
3ac6e897-228f-41a7-a024-8a1716a3391d,[9 2 9 8 6],raw,09/11/2025-21:35:16
cab95451-dd20-4a29-a222-f88b8f45904a,[2 7 0 1 1],raw,09/11/2025-21:35:16
d7f9b017-dbc2-4092-b65b-1d99a54d8420,[10 10  7  0 10],raw,09/11/2025-21:35:16
c6938ea4-88c8-4218-bd1d-80e81f9fb1b6,[ 6  9 10  4  2],raw,09/11/2025-21:35:16
4c1fa481-a521-40e4-a59b-f6d503a674dd,[0 8 3 7 0],raw,09/11/2025-21:35:16
20aa10a0-3b55-4f18-b1f2-8d174b97f19f,[7 1 9 9 9],raw,09/11/2025-21:35:16
c43a5d85-940a-441b-bfda-06527ad57c2e,[9 8 2 5 8],raw,09/11/2025-21:35:16
80dfe6db-63ce-423a-9cc1-f5ea25ab16e9,[3 0 7 8 0],raw,09/11/2025-21:35:16
